job_name,submit_time,duration,region,k,L_max,submit_local_hour,band,alpha,assigned_region
j_018294,154.2,22.9,US_Central,4,42.8,18.04,day,1.0,France
j_036547,609.8,1846.8,US_East,2,17144.4,19.17,day,1.0,France
j_054767,808.4,7599.4,France,2,9566.8,1.22,night,1.0,US_West
j_091258,1022.8,14862.0,Korea,1,46419.9,9.28,day,1.0,France
j_127754,1184.9,18642.5,Japan,1,45435.8,9.33,day,1.0,France
j_127775,1264.4,32.7,Japan,5,2.1,9.35,day,1.0,France
j_018296,1304.9,40.4,US_Central,4,40.1,18.36,day,1.0,France
j_091284,1437.5,5.9,Korea,5,1.6,9.4,day,1.0,US_West
j_127779,1473.2,13.1,Japan,5,4.2,9.41,day,1.0,US_West
j_073034,1692.3,888.9,Germany,1,57931.5,1.47,night,1.0,France
j_054785,1937.7,4120.4,France,1,50552.6,1.54,night,1.0,France
j_127785,2085.2,8515.1,Japan,2,18900.3,9.58,day,1.0,US_West
j_036525,2105.6,3762.0,US_East,1,61236.5,19.58,day,1.0,US_West
j_073007,2220.3,3.7,Germany,5,4.1,1.62,night,1.0,France
j_000023,2280.8,6657.9,US_West,1,66730.2,16.63,day,1.0,US_West
j_054753,2566.7,3679.8,France,2,7499.0,1.71,night,1.0,France
j_127797,3051.0,687.9,Japan,2,25533.4,9.85,day,1.0,France
j_054758,3254.4,1138.3,France,2,18050.4,1.9,night,1.0,France
j_127776,4209.0,259.1,Japan,3,133.4,10.17,day,1.0,France
j_018290,4252.6,21600.0,US_Central,1,77801.7,19.18,day,1.0,France
j_036523,4552.8,4912.8,US_East,1,43407.0,20.26,night,1.0,US_West
j_091277,4696.2,3.7,Korea,5,1.3,10.3,day,1.0,US_West
j_109516,4762.6,7.0,India,5,2.5,6.82,night,1.0,France
j_000001,5158.0,5319.0,US_West,1,59028.7,17.43,day,1.0,France
j_054769,5636.1,660.7,France,2,7707.9,2.57,night,1.0,France
j_054797,6392.2,3.5,France,5,2.5,2.78,night,1.0,US_West
j_091250,6689.4,4.6,Korea,5,1.0,10.86,day,1.0,France
j_091267,6885.1,5.4,Korea,5,4.5,10.91,day,1.0,US_West
j_054778,7299.8,22.5,France,4,56.5,3.03,night,1.0,US_West
j_109508,7361.1,4950.6,India,1,71193.7,7.54,night,1.0,France
j_127763,7547.5,39.8,Japan,4,33.6,11.1,day,1.0,France
j_073042,7681.7,13543.4,Germany,1,61625.2,3.13,night,1.0,US_West
j_036520,7780.5,6.4,US_East,5,1.1,21.16,night,1.0,France
j_109537,7861.6,226.5,India,3,455.3,7.68,night,1.0,France
j_018253,8062.8,24.3,US_Central,4,31.3,20.24,night,1.0,US_West
j_109530,8801.0,186.6,India,2,9520.3,7.94,night,1.0,France
j_091291,9023.4,3447.8,Korea,1,70321.4,11.51,day,1.0,France
j_091283,9189.6,2.1,Korea,5,1.3,11.55,day,1.0,France
j_091273,9732.7,2.9,Korea,5,2.5,11.7,day,1.0,US_West
j_054783,10083.6,1538.1,France,1,76854.1,3.8,night,1.0,US_West
j_127788,10202.6,35.9,Japan,4,30.1,11.83,day,1.0,US_West
j_091276,10240.2,69.7,Korea,4,39.0,11.84,day,1.0,France
j_091261,10261.4,4.4,Korea,5,2.9,11.85,day,1.0,US_West
j_054756,10759.5,13786.7,France,1,64062.2,3.99,night,1.0,US_West
j_109545,10801.6,2442.4,India,2,27253.3,8.5,day,1.0,France
j_036531,10838.8,109.5,US_East,3,455.9,22.01,night,1.0,US_West
j_018262,10852.4,7.1,US_Central,5,3.4,21.01,night,1.0,France
j_091294,10883.3,2968.3,Korea,2,11003.2,12.02,day,1.0,US_West
