job_name,submit_time,origin,assigned,k,duration,latency_ms,carbon_g,dropped
j_018294,154.2,US_Central,France,4,22.9,113.0,0.08269445080555558,False
j_036547,609.8,US_East,France,2,1846.8,90.0,6.669000513,False
j_054767,808.4,France,US_West,2,7599.4,146.0,376.6868333333333,False
j_091258,1022.8,Korea,France,1,14862.0,238.0,50.255889604777764,False
j_127754,1184.9,Japan,France,1,18642.5,228.0,64.33536178197222,False
j_127775,1264.4,Japan,France,5,32.7,228.0,0.11808334241666682,False
j_018296,1304.9,US_Central,France,4,40.4,113.0,0.14588890011111144,False
j_091284,1437.5,Korea,US_West,5,5.9,134.0,0.27041666666667086,False
j_127779,1473.2,Japan,US_West,5,13.1,109.0,0.6004166666666625,False
j_073034,1692.3,Germany,France,1,888.9,12.0,3.2099169135833328,False
j_054785,1937.7,France,France,1,4120.4,0.0,14.196417128416664,False
j_127785,2085.2,Japan,US_West,2,8515.1,109.0,432.05502777777775,False
j_036525,2105.6,US_East,US_West,1,3762.0,74.0,185.6526666666667,False
j_073007,2220.3,Germany,France,5,3.7,12.0,0.013361112138888232,False
j_000023,2280.8,US_West,US_West,1,6657.9,0.0,336.77913888888895,False
j_054753,2566.7,France,France,2,3679.8,0.0,12.553028064805556,False
j_127797,3051.0,Japan,France,2,687.9,228.0,2.4455001524999997,False
j_054758,3254.4,France,France,2,1138.3,0.0,3.8903334293333325,False
j_127776,4209.0,Japan,France,3,259.1,228.0,0.8636666666666679,False
j_018290,4252.6,US_Central,France,1,21600.0,113.0,82.26894444444443,False
j_036523,4552.8,US_East,US_West,1,4912.8,74.0,254.45733333333334,False
j_091277,4696.2,Korea,US_West,5,3.7,134.0,0.19116666666665727,False
j_109516,4762.6,India,France,5,7.0,137.0,0.023333333333333334,False
j_000001,5158.0,US_West,France,1,5319.0,146.0,17.73,False
j_054769,5636.1,France,France,2,660.7,0.0,2.202333333333333,False
j_054797,6392.2,France,US_West,5,3.5,146.0,0.18083333333333335,False
j_091250,6689.4,Korea,France,5,4.6,238.0,0.015333333333334547,False
j_091267,6885.1,Korea,US_West,5,5.4,134.0,0.2789999999999812,False
j_054778,7299.8,France,US_West,4,22.5,146.0,1.16875,False
j_109508,7361.1,India,France,1,4950.6,137.0,16.502000000000002,False
j_127763,7547.5,Japan,France,4,39.8,228.0,0.13266666666666727,False
j_073042,7681.7,Germany,US_West,1,13543.4,153.0,730.5671388888888,False
j_036520,7780.5,US_East,France,5,6.4,90.0,0.021333333333332122,False
j_109537,7861.6,India,France,3,226.5,137.0,0.755,False
j_018253,8062.8,US_Central,US_West,4,24.3,39.0,1.2622500000000094,False
j_109530,8801.0,India,France,2,186.6,137.0,0.6220000000000012,False
j_091291,9023.4,Korea,France,1,3447.8,238.0,11.49266666666667,False
j_091283,9189.6,Korea,France,5,2.1,238.0,0.007000000000001213,False
j_091273,9732.7,Korea,US_West,5,2.9,134.0,0.15063888888887,False
j_054783,10083.6,France,US_West,1,1538.1,146.0,81.95000000000002,False
