level,capacity,group,n_jobs,carbon_kg
0.5x,6,France,54178,571.1617132393434
0.5x,6,California,36743,4448.666714084992
0.5x,6,나머지 6개,55079,7240.434919131627
0.75x,9,France,54178,562.2309676886141
0.75x,9,California,36743,3882.6444142402233
0.75x,9,나머지 6개,55079,7107.914176266739
1x,12,France,54178,522.6724024964315
1x,12,California,36743,3211.12542030613
1x,12,나머지 6개,55079,7071.202075901109
1.5x,18,France,54178,491.3530763897633
1.5x,18,California,36743,2576.055862412466
1.5x,18,나머지 6개,55079,7059.67130980627
2x,24,France,54178,486.7022432542831
2x,24,California,36743,2472.1709320307205
2x,24,나머지 6개,55079,7059.169151590165
inf,100000,France,54178,486.98955432912885
inf,100000,California,36743,2450.272510381768
inf,100000,나머지 6개,55079,7058.949049051252
